epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,23485.8,1.23102,0.73153,0.98201,0.6485,0.45891,0.5133,0.3045,1.73559,1.43322,1.24426,0.005215,0.005215,0.005215
147,23645.4,1.22979,0.73002,0.98252,0.65051,0.45654,0.51367,0.30451,1.73539,1.43309,1.24402,0.005182,0.005182,0.005182
148,23805.1,1.23446,0.73105,0.98367,0.65083,0.45683,0.51371,0.30464,1.73488,1.43382,1.24353,0.005149,0.005149,0.005149
149,23965.8,1.22849,0.72882,0.98072,0.64896,0.45791,0.51376,0.30464,1.73504,1.43457,1.24329,0.005116,0.005116,0.005116
150,24125.2,1.22746,0.72655,0.98097,0.65151,0.45713,0.51403,0.3046,1.73504,1.4363,1.243,0.005083,0.005083,0.005083
151,24284,1.2252,0.72749,0.98028,0.65156,0.45676,0.51405,0.3047,1.73507,1.43787,1.24267,0.00505,0.00505,0.00505
152,24443.3,1.2249,0.72716,0.98028,0.64931,0.4582,0.51419,0.30477,1.73496,1.43857,1.24249,0.005017,0.005017,0.005017
153,24603.5,1.22957,0.72924,0.9804,0.64797,0.45895,0.51432,0.3047,1.73485,1.43959,1.24231,0.004984,0.004984,0.004984
154,24764.2,1.22469,0.72575,0.98023,0.65037,0.45864,0.51424,0.30476,1.73483,1.43947,1.24215,0.004951,0.004951,0.004951
155,24927.6,1.22426,0.72621,0.98053,0.65031,0.45844,0.5139,0.3046,1.73464,1.44024,1.24187,0.004918,0.004918,0.004918
156,25086.8,1.22616,0.72429,0.98029,0.64792,0.45952,0.51425,0.30446,1.73428,1.43976,1.24162,0.004885,0.004885,0.004885
157,25250,1.21966,0.72382,0.97876,0.64431,0.46033,0.51442,0.30457,1.7347,1.43936,1.24156,0.004852,0.004852,0.004852
158,25412.6,1.2222,0.72379,0.97768,0.64701,0.46011,0.51492,0.30477,1.73453,1.44012,1.24117,0.004819,0.004819,0.004819
159,25575,1.22033,0.72135,0.97876,0.6481,0.46032,0.51538,0.30509,1.73443,1.44096,1.24091,0.004786,0.004786,0.004786
160,25736.4,1.22049,0.72221,0.97774,0.64776,0.46123,0.51554,0.30521,1.73461,1.44219,1.24064,0.004753,0.004753,0.004753
161,25898.6,1.21807,0.7196,0.97842,0.64962,0.45905,0.51537,0.30527,1.73497,1.44243,1.24058,0.00472,0.00472,0.00472
162,26059.8,1.21889,0.71833,0.97647,0.65421,0.45739,0.51569,0.30545,1.73475,1.44246,1.24025,0.004687,0.004687,0.004687
163,26222.9,1.21722,0.7193,0.97704,0.65153,0.4586,0.51554,0.30554,1.7351,1.44344,1.23998,0.004654,0.004654,0.004654
164,26385.9,1.21825,0.71985,0.97732,0.65408,0.45777,0.51529,0.30547,1.73566,1.44448,1.23994,0.004621,0.004621,0.004621
165,26548.3,1.21878,0.7192,0.97622,0.66114,0.45416,0.51549,0.30554,1.7365,1.44501,1.24018,0.004588,0.004588,0.004588
166,26709.5,1.21867,0.71906,0.97649,0.66048,0.45495,0.51569,0.30562,1.73667,1.44595,1.23989,0.004555,0.004555,0.004555
167,26872.7,1.21157,0.715,0.97628,0.66008,0.45525,0.51609,0.30597,1.73676,1.44778,1.23948,0.004522,0.004522,0.004522
168,27032.4,1.21659,0.71554,0.97736,0.65869,0.45591,0.51585,0.30605,1.73694,1.44981,1.23935,0.004489,0.004489,0.004489
169,27196,1.21443,0.71626,0.97369,0.66067,0.45571,0.51608,0.30582,1.73807,1.45174,1.2395,0.004456,0.004456,0.004456
170,27357.8,1.21347,0.71337,0.97522,0.66237,0.45503,0.51612,0.30615,1.7384,1.45318,1.23947,0.004423,0.004423,0.004423
171,27520.6,1.2127,0.71357,0.97618,0.6624,0.45519,0.51607,0.30627,1.7392,1.45442,1.23957,0.00439,0.00439,0.00439
172,27680.1,1.21208,0.71261,0.97574,0.66433,0.4546,0.51602,0.30624,1.73886,1.45549,1.23917,0.004357,0.004357,0.004357
173,27846.7,1.21576,0.7144,0.97577,0.66575,0.45402,0.51605,0.3063,1.73957,1.45614,1.23931,0.004324,0.004324,0.004324
174,28008.7,1.21495,0.71376,0.97344,0.66462,0.45443,0.51642,0.3066,1.73982,1.45878,1.2391,0.004291,0.004291,0.004291
175,28170.5,1.21117,0.7121,0.97356,0.66178,0.45537,0.51612,0.3065,1.74014,1.45894,1.23901,0.004258,0.004258,0.004258
176,28330.5,1.21353,0.71361,0.97574,0.66304,0.45605,0.51616,0.30658,1.74068,1.4594,1.23898,0.004225,0.004225,0.004225
